response_id,question_no,max_score,human_score,ai_score,latency_s,input_tokens,output_tokens,cost_usd,error
30720842,Q6,10.0,0.0,0.0,0.0,0,0,0.0,
30881447,Q6,10.0,5.0,4.0,23.107,1122,1122,0.020196,
30883350,Q6,10.0,2.0,1.5,21.389,1005,1157,0.02037,
30884772,Q6,10.0,2.0,1.5,15.297,987,886,0.016251,
30897181,Q6,10.0,4.0,2.0,29.862,1044,1696,0.028572,
30897254,Q6,10.0,5.0,3.5,17.146,1058,1089,0.019509,
31062377,Q6,10.0,4.0,3.5,22.532,1092,1301,0.022791,
31106897,Q6,10.0,3.0,5.0,20.118,1111,1300,0.022833,
31106951,Q6,10.0,7.0,5.5,32.668,1439,2028,0.034737,
31107125,Q6,10.0,9.0,6.0,25.936,1089,1444,0.024927,
31107494,Q6,10.0,4.0,4.0,21.346,1109,1055,0.019152,
31107834,Q6,10.0,7.0,5.0,19.968,1167,1114,0.020211,
31107990,Q6,10.0,8.0,5.5,27.028,1228,1770,0.030234,
31108083,Q6,10.0,8.0,7.0,40.697,1218,2229,0.037089,
31108490,Q6,10.0,7.0,4.5,27.104,1244,1734,0.029742,
31108547,Q6,10.0,5.0,4.5,23.026,1166,1511,0.026163,
31109462,Q6,10.0,4.0,5.0,23.701,1159,1497,0.025932,
31109551,Q6,10.0,6.0,4.0,20.734,1202,1146,0.020796,
31109578,Q6,10.0,3.0,3.5,25.163,1136,1664,0.028368,
31109675,Q6,10.0,6.0,5.5,31.344,1405,1945,0.03339,
31110185,Q6,10.0,7.0,7.5,30.396,1144,1800,0.030432,
31172091,Q6,10.0,7.0,4.5,28.027,1017,1502,0.025581,
31189946,Q6,10.0,4.0,2.5,21.599,1058,1034,0.018684,
31394647,Q6,10.0,8.0,5.5,28.01,1264,1768,0.030312,
31439209,Q6,10.0,6.0,4.5,25.652,1067,1479,0.025386,
30720842,Q8,10.0,6.0,6.5,27.718,1334,1150,0.021252,
30881447,Q8,10.0,5.5,5.5,24.372,1167,1276,0.022641,
30883350,Q8,10.0,4.0,4.0,14.326,1160,764,0.01494,
30884772,Q8,10.0,5.0,5.0,18.933,1134,1032,0.018882,
30897181,Q8,10.0,4.0,4.5,15.997,1070,837,0.015765,
30897254,Q8,10.0,1.0,1.0,14.356,1051,746,0.014343,
31062377,Q8,10.0,1.0,1.0,12.103,1060,727,0.014085,
31106897,Q8,10.0,5.5,6.0,24.34,1235,1332,0.023685,
31106951,Q8,10.0,5.5,5.0,108.142,1262,1275,0.022911,
31107125,Q8,10.0,7.5,6.0,20.939,1152,1126,0.020346,
31107494,Q8,10.0,5.0,6.0,27.103,1120,1277,0.022515,
31107834,Q8,10.0,5.5,7.0,23.534,1139,1272,0.022497,
31107990,Q8,10.0,4.5,7.0,19.04,1229,1076,0.019827,
31108083,Q8,10.0,5.5,4.5,23.738,1294,950,0.018132,
31108490,Q8,10.0,7.0,8.0,18.626,1196,1098,0.020058,
31108547,Q8,10.0,8.5,7.5,21.949,1242,1219,0.022011,
31109462,Q8,10.0,4.5,6.0,14.722,1131,820,0.015693,
31109551,Q8,10.0,4.0,3.5,20.21,1245,1098,0.020205,
31109578,Q8,10.0,4.5,6.0,20.619,1174,1033,0.019017,
31109675,Q8,10.0,6.0,6.5,18.079,1160,1046,0.01917,
31110185,Q8,10.0,6.0,6.5,21.974,1180,1198,0.02151,
31172091,Q8,10.0,4.0,4.5,18.742,1178,1041,0.019149,
31189946,Q8,10.0,4.0,5.0,13.071,1043,738,0.014199,
31394647,Q8,10.0,6.0,6.0,20.218,1179,1157,0.020892,
31439209,Q8,10.0,5.0,5.5,22.318,1210,1056,0.01947,
32654936,Q9,6.0,6.0,6.0,17.595,1061,1061,0.019098,
32797052,Q9,6.0,3.0,3.0,22.403,1043,1169,0.020664,
32837046,Q9,6.0,6.0,6.0,17.912,1062,1052,0.018966,
32837283,Q9,6.0,3.0,3.0,22.946,959,1362,0.023307,
32837526,Q9,6.0,4.0,4.0,28.718,1066,1582,0.026928,
32837542,Q9,6.0,6.0,6.0,19.685,1168,1098,0.019974,
32837771,Q9,6.0,6.0,6.0,17.396,1150,1148,0.02067,
32838336,Q9,6.0,6.0,6.0,20.642,1052,1215,0.021381,
32838662,Q9,6.0,5.0,5.0,19.661,1012,1190,0.020886,
32838859,Q9,6.0,5.0,5.0,23.111,1031,1287,0.022398,
32839308,Q9,6.0,3.0,3.0,27.115,1040,1536,0.02616,
32839464,Q9,6.0,2.0,2.0,18.164,1091,1050,0.019023,
32839502,Q9,6.0,6.0,6.0,20.236,1103,1067,0.019314,
32839839,Q9,6.0,6.0,6.0,18.628,1138,1174,0.021024,
32840748,Q9,6.0,6.0,6.0,20.545,1170,1182,0.02124,
32840802,Q9,6.0,2.0,4.0,23.792,1174,1311,0.023187,
32841132,Q9,6.0,4.0,6.0,23.813,1061,1333,0.023178,
32841523,Q9,6.0,6.0,6.0,28.561,1123,1315,0.023094,
32841558,Q9,6.0,5.0,5.0,23.656,1042,1147,0.020331,
32842716,Q9,6.0,6.0,6.0,24.2,1105,1200,0.021315,
32843194,Q9,6.0,2.0,2.0,28.034,1032,1572,0.026676,
32843577,Q9,6.0,4.0,5.0,21.555,1036,1288,0.022428,
32843763,Q9,6.0,3.0,3.0,29.967,1085,1878,0.031425,
32843992,Q9,6.0,6.0,6.0,16.66,1060,955,0.017505,
32844301,Q9,6.0,4.0,4.5,24.644,1110,1428,0.02475,
32654936,Q22,6.0,3.0,2.5,13.801,1370,731,0.015075,
32797052,Q22,6.0,6.0,6.0,24.201,1277,1392,0.024711,
32837046,Q22,6.0,3.0,2.0,15.779,1221,626,0.013053,
32837283,Q22,6.0,3.0,1.5,20.193,1191,846,0.016263,
32837526,Q22,6.0,3.0,2.0,15.744,1209,643,0.013272,
32837542,Q22,6.0,6.0,5.5,16.281,1281,946,0.018033,
32837771,Q22,6.0,3.0,2.0,15.146,1194,723,0.014427,
32838336,Q22,6.0,3.0,3.0,14.612,1086,863,0.016203,
32838662,Q22,6.0,6.0,5.0,23.98,1209,1304,0.023187,
32838859,Q22,6.0,3.0,3.0,18.792,1251,679,0.013938,
32839308,Q22,6.0,3.0,1.5,19.865,1225,828,0.016095,
32839464,Q22,6.0,3.0,2.5,19.051,1343,920,0.017829,
32839502,Q22,6.0,6.0,4.0,25.887,1237,1076,0.019851,
32839839,Q22,6.0,6.0,5.5,15.501,1274,944,0.017982,
32840748,Q22,6.0,5.0,5.0,24.521,1201,1140,0.020703,
32840802,Q22,6.0,6.0,3.5,18.395,1131,1057,0.019248,
32841132,Q22,6.0,4.0,4.0,14.813,1181,917,0.017298,
32841523,Q22,6.0,6.0,4.5,81.06,1213,1099,0.020124,
32841558,Q22,6.0,6.0,2.5,19.316,1134,911,0.017067,
32842716,Q22,6.0,6.0,2.0,19.453,1165,848,0.016215,
32843194,Q22,6.0,3.0,1.5,14.349,1197,753,0.014886,
32843577,Q22,6.0,6.0,4.5,16.775,1139,834,0.015927,
32843763,Q22,6.0,3.0,2.0,19.376,1202,657,0.013461,
32843992,Q22,6.0,6.0,5.5,23.076,1242,1125,0.020601,
