response_id,question_no,max_score,human_score,ai_score,latency_s,input_tokens,output_tokens,cost_usd,error,ai_feedback
30720842,Q6,10.0,0.0,0.0,0.0,0,0,0.0,,
30883350,Q6,10.0,2.0,2.0,16.094,925,2492,0.001075,,
30884772,Q6,10.0,2.0,2.0,10.512,902,2322,0.001005,,
30897181,Q6,10.0,4.0,2.0,14.624,956,2305,0.001003,,
30897254,Q6,10.0,5.0,4.0,20.449,976,2815,0.001209,,
31107834,Q6,10.0,7.0,6.5,9.571,1064,2441,0.001067,,
31109462,Q6,10.0,4.0,6.0,14.696,1055,2299,0.001009,,
31189946,Q6,10.0,4.0,3.5,20.804,971,2567,0.001109,,
30720842,Q8,10.0,6.0,8.0,20.668,1248,2850,0.001246,,
30883350,Q8,10.0,4.0,5.0,20.144,1013,2225,0.000976,,
30884772,Q8,10.0,5.0,4.0,9.495,999,2155,0.000947,,
30897181,Q8,10.0,4.0,5.0,5.926,946,1478,0.000672,,
30897254,Q8,10.0,1.0,1.0,4.746,929,1060,0.000503,,
31062377,Q8,10.0,1.0,1.0,11.866,935,1626,0.00073,,
31106897,Q8,10.0,5.5,7.0,7.135,1078,1792,0.000808,,
31106951,Q8,10.0,5.5,5.0,9.486,1113,1850,0.000835,,
31107125,Q8,10.0,7.5,6.0,10.714,1012,2029,0.000898,,
31107494,Q8,10.0,5.0,5.0,15.188,986,2576,0.001114,,
31107834,Q8,10.0,5.5,5.0,15.76,1005,2590,0.001121,,
31107990,Q8,10.0,4.5,8.0,27.749,1069,3000,0.001291,,
31108083,Q8,10.0,5.5,4.0,18.436,1190,2137,0.000956,,
31108490,Q8,10.0,7.0,8.0,8.376,1050,1959,0.000873,,
31108547,Q8,10.0,8.5,8.0,12.599,1091,2409,0.001056,,
31109551,Q8,10.0,4.0,3.0,6.591,1101,1861,0.000838,,
31109675,Q8,10.0,6.0,6.5,12.186,1016,2143,0.000944,,
31110185,Q8,10.0,6.0,5.5,8.393,1035,2854,0.00123,,
31172091,Q8,10.0,4.0,4.0,6.627,1036,1712,0.000773,,
31189946,Q8,10.0,4.0,5.0,5.278,922,1408,0.000642,,
31394647,Q8,10.0,6.0,7.0,7.559,1039,2470,0.001076,,
31439209,Q8,10.0,5.0,6.0,6.412,1060,2166,0.000956,,
