response_id,rater,score
30720842,Human,0.0
30720842,AI_benchmark_cot_grader,0.0
30881447,Human,5.0
30881447,AI_benchmark_cot_grader,3.0
30883350,Human,2.0
30883350,AI_benchmark_cot_grader,1.5
30884772,Human,2.0
30884772,AI_benchmark_cot_grader,1.0
30897181,Human,4.0
30897181,AI_benchmark_cot_grader,1.0
30897254,Human,5.0
30897254,AI_benchmark_cot_grader,4.0
31062377,Human,4.0
31062377,AI_benchmark_cot_grader,5.0
31106897,Human,3.0
31106897,AI_benchmark_cot_grader,3.0
30720842,Human,6.0
30720842,AI_benchmark_cot_grader,6.0
30881447,Human,5.5
30881447,AI_benchmark_cot_grader,6.0
30883350,Human,4.0
30883350,AI_benchmark_cot_grader,4.0
30884772,Human,5.0
30884772,AI_benchmark_cot_grader,4.0
30897181,Human,4.0
30897181,AI_benchmark_cot_grader,5.0
30897254,Human,1.0
30897254,AI_benchmark_cot_grader,0.5
31062377,Human,1.0
31062377,AI_benchmark_cot_grader,1.0
31106897,Human,5.5
31106897,AI_benchmark_cot_grader,5.0
32654936,Human,6.0
32654936,AI_benchmark_cot_grader,6.0
32797052,Human,3.0
32797052,AI_benchmark_cot_grader,2.0
32837046,Human,6.0
32837046,AI_benchmark_cot_grader,6.0
32837283,Human,3.0
32837283,AI_benchmark_cot_grader,4.5
32837526,Human,4.0
32837526,AI_benchmark_cot_grader,6.0
32837542,Human,6.0
32837542,AI_benchmark_cot_grader,6.0
32837771,Human,6.0
32837771,AI_benchmark_cot_grader,6.0
32838336,Human,6.0
32838336,AI_benchmark_cot_grader,6.0
32654936,Human,3.0
32654936,AI_benchmark_cot_grader,2.0
32797052,Human,6.0
32797052,AI_benchmark_cot_grader,6.0
32837046,Human,3.0
32837046,AI_benchmark_cot_grader,2.0
32837283,Human,3.0
32837283,AI_benchmark_cot_grader,2.0
32837526,Human,3.0
32837526,AI_benchmark_cot_grader,2.0
32837542,Human,6.0
32837542,AI_benchmark_cot_grader,5.0
32837771,Human,3.0
32837771,AI_benchmark_cot_grader,2.0
32838336,Human,3.0
32838336,AI_benchmark_cot_grader,4.0
